        TIME,    TIDE,      OB,   SURGE,    BIAS,     TWL,SURGE90p,  TWL90p,SURGE10p,   TWL10p
202607040600,   2.967,9999.000,   0.200,9999.000,   3.167,   0.200,   3.167,   0.300,   3.267
202607040606,   2.846,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000
202607040612,   2.724,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000
202607040618,   2.602,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000
202607040624,   2.481,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000
202607040630,   2.361,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000
202607040636,   2.242,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000
202607040642,   2.124,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000
202607040648,   2.009,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000
202607040654,   1.896,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000
202607040700,   1.786,   2.689,   0.300,   0.603,   2.689,   0.200,   2.589,   0.300,   2.689
202607040706,   1.678,   2.568,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000
202607040712,   1.575,   2.420,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000
202607040718,   1.474,   2.279,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000
202607040724,   1.378,   2.158,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000
202607040730,   1.286,   2.049,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000
202607040736,   1.198,   1.938,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000
202607040742,   1.114,   1.820,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000
202607040748,   1.035,   1.738,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000
202607040754,   0.960,   1.659,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000
202607040800,   0.891,   1.571,   0.300,   0.380,   1.571,   0.200,   1.471,   0.300,   1.571
202607040806,   0.826,   1.498,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000
202607040812,   0.765,   1.410,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000
202607040818,   0.710,   1.338,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000
202607040824,   0.660,   1.279,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000
202607040830,   0.614,   1.229,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000
202607040836,   0.573,   1.200,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000
202607040842,   0.538,   1.210,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000
202607040848,   0.507,   1.190,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000
202607040854,   0.481,   1.170,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000
202607040900,   0.460,   1.151,   0.300,   0.391,   1.151,   0.200,   1.051,   0.300,   1.151
202607040906,   0.443,   1.108,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000
202607040912,   0.432,   1.049,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000
202607040918,   0.425,   0.990,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000
202607040924,   0.423,   0.908,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000
202607040930,   0.426,   0.829,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000
202607040936,   0.433,   0.790,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000
202607040942,   0.446,   0.810,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000
202607040948,   0.462,   0.849,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000
202607040954,   0.483,   0.879,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000
202607041000,   0.509,   1.000,   0.300,   0.191,   1.000,   0.200,   0.900,   0.400,   1.100
